1stFlrSF,2ndFlrSF,3SsnPorch,Alley_Grvl,Alley_Pave,AsphShn,BedroomAbvGr,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,BsmtCond_Fa,BsmtCond_Gd,BsmtCond_Po,BsmtCond_TA,BsmtExposure_Av,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_No,BsmtFinSF1,BsmtFinSF2,BsmtFinType1_ALQ,BsmtFinType1_BLQ,BsmtFinType1_GLQ,BsmtFinType1_LwQ,BsmtFinType1_Rec,BsmtFinType1_Unf,BsmtFinType2_ALQ,BsmtFinType2_BLQ,BsmtFinType2_GLQ,BsmtFinType2_LwQ,BsmtFinType2_Rec,BsmtFinType2_Unf,BsmtFullBath,BsmtHalfBath,BsmtQual_Ex,BsmtQual_Fa,BsmtQual_Gd,BsmtQual_TA,BsmtUnfSF,CentralAir_Y,Cond_Artery,Cond_Feedr,Cond_Norm,Cond_PosA,Cond_PosN,Cond_RRAe,Cond_RRAn,Cond_RRNe,Cond_RRNn,Electrical_FuseA,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_SBrkr,EnclosedPorch,ExAsbShng,ExBrkComm,ExBrkFace,ExCBlock,ExCemntBd,ExHdBoard,ExImStucc,ExMetalSd,ExPlywood,ExStone,ExStucco,ExVinylSd,ExWdSdng,ExWdShng,ExterCond_Ex,ExterCond_Fa,ExterCond_Gd,ExterCond_Po,ExterCond_TA,ExterQual_Ex,ExterQual_Fa,ExterQual_Gd,ExterQual_TA,Exterior2nd_Other,Fence_GdPrv,Fence_GdWo,Fence_MnPrv,Fence_MnWw,FireplaceQu_Ex,FireplaceQu_Fa,FireplaceQu_Gd,FireplaceQu_Po,FireplaceQu_TA,Fireplaces,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,FullBath,Functional_Maj1,Functional_Maj2,Functional_Min1,Functional_Min2,Functional_Mod,Functional_Sev,Functional_Typ,GarageArea,GarageCars,GarageCond_Ex,GarageCond_Fa,GarageCond_Gd,GarageCond_Po,GarageCond_TA,GarageFinish_Fin,GarageFinish_RFn,GarageFinish_Unf,GarageQual_Ex,GarageQual_Fa,GarageQual_Gd,GarageQual_Po,GarageQual_TA,GarageType_2Types,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageYrBlt,GrLivArea,HalfBath,HeatingQC_Ex,HeatingQC_Fa,HeatingQC_Gd,HeatingQC_Po,HeatingQC_TA,Heating_Floor,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,HouseStyle_1.5Fin,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,Id,KitchenAbvGr,KitchenQual_Ex,KitchenQual_Fa,KitchenQual_Gd,KitchenQual_TA,LandContour_Bnk,LandContour_HLS,LandContour_Low,LandContour_Lvl,LandSlope_Gtl,LandSlope_Mod,LandSlope_Sev,LotArea,LotConfig_Corner,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,LotFrontage,LotShape_IR1,LotShape_IR2,LotShape_IR3,LotShape_Reg,LowQualFinSF,MSSubClass,MSZoning_C (all),MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,MasVnrArea,MasVnrType_BrkCmn,MasVnrType_BrkFace,MasVnrType_None,MasVnrType_Stone,MiscFeature_Gar2,MiscFeature_Othr,MiscFeature_Shed,MiscFeature_TenC,MiscVal,MoSold,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,OpenPorchSF,OverallCond,OverallQual,PavedDrive_N,PavedDrive_P,PavedDrive_Y,PoolArea,PoolQC_Ex,PoolQC_Fa,PoolQC_Gd,RoofMatl_ClyTile,RoofMatl_CompShg,RoofMatl_Membran,RoofMatl_Metal,RoofMatl_Roll,RoofMatl_Tar&Grv,RoofMatl_WdShake,RoofMatl_WdShngl,RoofStyle_Flat,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,SaleCondition_Abnorml,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial,SaleType_COD,SaleType_CWD,SaleType_Con,SaleType_ConLD,SaleType_ConLI,SaleType_ConLw,SaleType_New,SaleType_Oth,SaleType_WD,ScreenPorch,Street_Grvl,Street_Pave,TotRmsAbvGrd,TotalBsmtSF,Utilities_AllPub,Utilities_NoSeWa,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold,SalePrice
856,854,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,1,706,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,150,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,548,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2003.0,1710,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,8450,0,0,0,0,1,65.0,0,0,0,1,0,60,0,0,0,1,0,196.0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,5,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,8,856,1,0,0,2003,2003,2008,208500
1262,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,1,0,0,978,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,284,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,1,460,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1976.0,1262,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,1,1,0,0,9600,0,0,1,0,0,80.0,0,0,0,1,0,20,0,0,0,1,0,0.0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,6,1262,1,0,298,1976,1976,2007,181500
920,866,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,1,0,486,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,434,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,608,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2001.0,1786,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,1,0,0,0,0,1,1,0,0,11250,0,0,0,0,1,68.0,1,0,0,0,0,60,0,0,0,1,0,162.0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,5,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,6,920,1,0,0,2001,2002,2008,223500
961,756,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,1,216,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,540,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,272,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,642,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1998.0,1717,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,1,0,0,0,0,1,1,0,0,9550,1,0,0,0,0,60.0,1,0,0,0,0,70,0,0,0,1,0,0.0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,5,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,756,1,0,0,1915,1970,2006,140000
1145,1053,0,0,0,0,4,1,0,0,0,0,0,0,0,1,1,0,0,0,655,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,490,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,836,3,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2000.0,2198,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,1,0,0,0,0,1,1,0,0,14260,0,0,1,0,0,84.0,1,0,0,0,0,60,0,0,0,1,0,350.0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,84,5,8,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,9,1145,1,0,192,2000,2000,2008,250000
796,566,320,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,732,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,64,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,480,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1993.0,1362,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,0,0,1,0,0,0,1,1,0,0,14115,0,0,0,0,1,85.0,1,0,0,0,0,50,0,0,0,1,0,0.0,0,0,1,0,0,0,1,0,700,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,5,796,1,0,40,1993,1995,2009,143000
1694,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,1,0,0,0,1369,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,317,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,636,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2004.0,1694,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,0,1,0,0,0,0,1,1,0,0,10084,0,0,0,0,1,75.0,0,0,0,1,0,20,0,0,0,1,0,186.0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,57,5,8,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,7,1686,1,0,255,2004,2005,2007,307000
1107,983,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,1,0,859,32,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,216,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,228,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,2,0,0,0,0,0,0,1,484,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1973.0,2090,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8,1,0,0,0,1,0,0,0,1,1,0,0,10382,1,0,0,0,0,70.04995836802665,1,0,0,0,0,60,0,0,0,1,0,240.0,0,0,0,1,0,0,1,0,350,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,204,6,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,7,1107,1,0,235,1973,1973,2009,200000
1022,752,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,952,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,205,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,2,0,0,1,0,0,0,0,468,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1931.0,1774,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,9,2,0,0,0,1,0,0,0,1,1,0,0,6120,0,0,0,0,1,51.0,0,0,0,1,0,50,0,0,0,0,1,0.0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,952,1,0,90,1931,1950,2008,129900
1077,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,851,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,140,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,205,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1939.0,1077,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,10,2,0,0,0,1,0,0,0,1,1,0,0,7420,1,0,0,0,0,50.0,0,0,0,1,0,190,0,0,0,1,0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,5,991,1,0,0,1939,1950,2008,118000
