1stFlrSF,2ndFlrSF,3SsnPorch,AllRooms,Alley,AsphShn,Bath,BedroomAbvGr,BldgType,BsmtBath,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1_ALQ,BsmtFinType1_BLQ,BsmtFinType1_GLQ,BsmtFinType1_LwQ,BsmtFinType1_Rec,BsmtFinType1_Unf,BsmtFinType2_ALQ,BsmtFinType2_BLQ,BsmtFinType2_GLQ,BsmtFinType2_LwQ,BsmtFinType2_Rec,BsmtFinType2_Unf,BsmtQual,BsmtUnfSF,CentralAir_Y,Density,Dortmund_Nordstadt,Electrical,EnclosedPorch,ExAsbShng,ExBrkComm,ExBrkFace,ExCBlock,ExCemntBd,ExHdBoard,ExImStucc,ExMetalSd,ExPlywood,ExStone,ExStucco,ExVinylSd,ExWdSdng,ExWdShng,ExterCond,ExterQual,Exterior2nd_Other,Fence_GdPrv,Fence_GdWo,Fence_MnPrv,Fence_MnWw,FireplaceQu,Fireplaces,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Functional,GarageArea,GarageCars,GarageCond,GarageFinish_Fin,GarageFinish_RFn,GarageFinish_Unf,GarageQual,GarageType_2Types,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageYrBlt,GoodNbh,GrLivArea,Heating,HeatingQC,HouseStyle_1.5Fin,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,Id,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MasVnrArea,MasVnrType,MiscFeature_Gar2,MiscFeature_Othr,MiscFeature_Shed,MiscFeature_TenC,MiscVal,MoSold,NearPark,NearRailroad,NearStreet,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,PoolQC,RelFirePlaces,RelKitchen,RoofStyle_Flat,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,SaleCondition,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,VeryGoodNbh,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold,SalePrice
856,854,0,10.5,0,0,2.5,3,1,1.0,3,0,706,0,0,0,1,0,0,0,0,0,0,0,0,1,4,150,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,548,2,3,0,1,0,3,0,1,0,0,0,0,2003.0,0,1710,1,5,0,0,0,0,0,1,0,0,1,1,4,0,1,8450,0,65.0,0,0,60,196.0,1,0,0,0,0,0,2,0,0,0,61,5,7,1,0,0,0,4,0,1,0,0,0,0,0,0,0,2,8,856,0,0,2003,2003,2008,208500
1262,0,0,8.0,0,0,2.0,3,1,0.5,3,3,978,0,1,0,0,0,0,0,0,0,0,0,0,1,4,284,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,0,0,0,0,0,3,1,0,1,0,0,0,0,0,460,2,3,0,1,0,3,0,1,0,0,0,0,1976.0,1,1262,1,5,0,0,1,0,0,0,0,0,2,1,3,0,1,9600,1,80.0,0,0,20,0.0,0,0,0,0,0,0,5,0,0,1,0,8,6,1,0,0,3,3,0,1,0,0,0,0,0,0,0,2,6,1262,0,298,1976,1976,2007,181500
920,866,0,8.5,0,0,2.5,3,1,1.0,3,1,486,0,0,0,1,0,0,0,0,0,0,0,0,1,4,434,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,0,0,0,0,0,3,1,0,0,1,0,0,0,0,608,2,3,0,1,0,3,0,1,0,0,0,0,2001.0,0,1786,1,5,0,0,0,0,0,1,0,0,3,1,4,0,1,11250,0,68.0,1,0,60,162.0,1,0,0,0,0,0,9,0,0,0,42,5,7,1,0,0,3,4,0,1,0,0,0,0,0,0,0,2,6,920,0,0,2001,2002,2008,223500
961,756,0,8.0,0,0,1.0,3,1,1.0,4,0,216,0,1,0,0,0,0,0,0,0,0,0,0,1,3,540,1,1,0,1,272,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,0,0,0,0,4,1,1,0,0,0,0,0,0,642,3,3,0,0,1,3,0,0,0,0,0,1,1998.0,0,1717,1,4,0,0,0,0,0,1,0,0,4,1,4,0,1,9550,1,60.0,1,0,70,0.0,0,0,0,0,0,0,2,0,0,0,35,5,7,1,0,0,4,4,0,1,0,0,0,0,0,0,0,2,7,756,0,0,1915,1970,2006,140000
1145,1053,0,11.5,0,0,2.5,4,1,1.0,3,2,655,0,0,0,1,0,0,0,0,0,0,0,0,1,4,490,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,0,0,0,0,0,3,1,0,0,1,0,0,0,0,836,3,3,0,1,0,3,0,1,0,0,0,0,2000.0,1,2198,1,5,0,0,0,0,0,1,0,0,5,1,4,0,1,14260,1,84.0,1,0,60,350.0,1,0,0,0,0,0,12,0,0,0,84,5,8,1,0,0,3,4,0,1,0,0,0,0,0,0,0,2,9,1145,1,192,2000,2000,2008,250000
796,566,320,6.5,0,0,1.5,1,1,1.0,3,0,732,0,0,0,1,0,0,0,0,0,0,0,0,1,4,64,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,480,2,3,0,0,1,3,0,1,0,0,0,0,1993.0,0,1362,1,5,1,0,0,0,0,0,0,0,6,1,3,0,1,14115,0,85.0,1,0,50,0.0,0,0,0,1,0,700,10,0,0,0,30,5,5,1,0,0,0,3,0,1,0,0,0,0,0,0,0,2,5,796,0,40,1993,1995,2009,143000
1694,0,0,9.0,0,0,2.0,3,1,1.0,3,2,1369,0,0,0,1,0,0,0,0,0,0,0,0,1,5,317,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,0,0,0,0,0,4,1,0,0,1,0,0,0,0,636,2,3,0,1,0,3,0,1,0,0,0,0,2004.0,1,1694,1,5,0,0,1,0,0,0,0,0,7,1,4,0,1,10084,0,75.0,0,0,20,186.0,1,0,0,0,0,0,8,0,0,0,57,5,8,1,0,0,4,4,0,1,0,0,0,0,0,0,0,2,7,1686,0,255,2004,2005,2007,307000
1107,983,0,9.5,0,0,2.5,3,1,1.0,3,1,859,32,1,0,0,0,0,0,0,1,0,0,0,0,4,216,1,1,0,1,228,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,2,0,1,0,0,0,0,0,484,2,3,0,1,0,3,0,1,0,0,0,0,1973.0,0,2090,1,5,0,0,0,0,0,1,0,0,8,1,3,0,1,10382,1,70.04995836802665,1,0,60,240.0,1,0,0,1,0,350,11,1,0,0,204,6,7,1,0,0,6,3,0,1,0,0,0,0,0,0,0,2,7,1107,0,235,1973,1973,2009,200000
1022,752,0,10.0,0,0,2.0,2,1,0.0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,952,1,2,1,0,205,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,3,2,1,0,0,0,0,0,1,468,2,3,0,0,1,2,0,0,0,0,0,1,1931.0,0,1774,1,4,1,0,0,0,0,0,0,0,9,2,3,0,1,6120,0,51.0,0,0,50,0.0,0,0,0,0,0,0,4,0,0,1,0,5,7,1,0,0,6,6,0,1,0,0,0,0,0,0,0,2,8,952,0,90,1931,1950,2008,129900
1077,0,0,6.0,0,0,1.0,2,0,1.0,3,0,851,0,0,0,1,0,0,0,0,0,0,0,0,1,3,140,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,0,0,0,0,0,3,2,1,0,0,0,0,0,0,205,1,3,0,1,0,4,0,1,0,0,0,0,1939.0,0,1077,1,5,0,1,0,0,0,0,0,0,10,2,3,0,1,7420,1,50.0,0,0,190,0.0,0,0,0,0,0,0,1,0,0,1,4,6,5,1,0,0,6,6,0,1,0,0,0,0,0,0,0,2,5,991,0,0,1939,1950,2008,118000
