,Anfangswert 0,Anfangswert 2786,Anfangswert 5572,Anfangswert 8358
0,0.0,0.2786,0.5572,0.8358
1,0.3456,0.3842,0.4228,0.4614
2,0.6512,0.4498,0.2484,0.047
3,0.9168,0.4754,0.034,0.5926
4,0.1424,0.461,0.7796,0.0982
5,0.328,0.4066,0.4852,0.5638
6,0.4736,0.3122,0.1508,0.9894
7,0.5792,0.1778,0.7764,0.375
8,0.6448,0.0034,0.362,0.7206
9,0.6704,0.789,0.9076,0.0262
10,0.656,0.5346,0.4132,0.2918
11,0.6016,0.2402,0.8788,0.5174
12,0.5072,0.9058,0.3044,0.703
13,0.3728,0.5314,0.69,0.8486
14,0.1984,0.117,0.0356,0.9542
15,0.984,0.6626,0.3412,0.0198
16,0.7296,0.1682,0.6068,0.0454
17,0.4352,0.6338,0.8324,0.031
18,0.1008,0.0594,0.018,0.9766
19,0.7264,0.445,0.1636,0.8822
20,0.312,0.7906,0.2692,0.7478
21,0.8576,0.0962,0.3348,0.5734
22,0.3632,0.3618,0.3604,0.359
23,0.8288,0.5874,0.346,0.1046
24,0.2544,0.773,0.2916,0.8102
25,0.64,0.9186,0.1972,0.4758
26,0.9856,0.0242,0.0628,0.1014
27,0.2912,0.0898,0.8884,0.687
28,0.5568,0.1154,0.674,0.2326
29,0.7824,0.101,0.4196,0.7382
30,0.968,0.0466,0.1252,0.2038
31,0.1136,0.9522,0.7908,0.6294
32,0.2192,0.8178,0.4164,0.015
33,0.2848,0.6434,0.002,0.3606
34,0.3104,0.429,0.5476,0.6662
35,0.296,0.1746,0.0532,0.9318
36,0.2416,0.8802,0.5188,0.1574
37,0.1472,0.5458,0.9444,0.343
38,0.0128,0.1714,0.33,0.4886
39,0.8384,0.757,0.6756,0.5942
40,0.624,0.3026,0.9812,0.6598
41,0.3696,0.8082,0.2468,0.6854
42,0.0752,0.2738,0.4724,0.671
43,0.7408,0.6994,0.658,0.6166
44,0.3664,0.085,0.8036,0.5222
45,0.952,0.4306,0.9092,0.3878
46,0.4976,0.7362,0.9748,0.2134
47,0.0032,0.0018,0.0004,0.999
48,0.4688,0.2274,0.986,0.7446
49,0.8944,0.413,0.9316,0.4502
50,0.28,0.5586,0.8372,0.1158
51,0.6256,0.6642,0.7028,0.7414
52,0.9312,0.7298,0.5284,0.327
53,0.1968,0.7554,0.314,0.8726
54,0.4224,0.741,0.0596,0.3782
55,0.608,0.6866,0.7652,0.8438
56,0.7536,0.5922,0.4308,0.2694
57,0.8592,0.4578,0.0564,0.655
58,0.9248,0.2834,0.642,0.0006
59,0.9504,0.069,0.1876,0.3062
60,0.936,0.8146,0.6932,0.5718
61,0.8816,0.5202,0.1588,0.7974
62,0.7872,0.1858,0.5844,0.983
63,0.6528,0.8114,0.97,0.1286
64,0.4784,0.397,0.3156,0.2342
65,0.264,0.9426,0.6212,0.2998
66,0.0096,0.4482,0.8868,0.3254
67,0.7152,0.9138,0.1124,0.311
68,0.3808,0.3394,0.298,0.2566
69,0.0064,0.725,0.4436,0.1622
70,0.592,0.0706,0.5492,0.0278
71,0.1376,0.3762,0.6148,0.8534
72,0.6432,0.6418,0.6404,0.639
73,0.1088,0.8674,0.626,0.3846
74,0.5344,0.053,0.5716,0.0902
75,0.92,0.1986,0.4772,0.7558
76,0.2656,0.3042,0.3428,0.3814
77,0.5712,0.3698,0.1684,0.967
78,0.8368,0.3954,0.954,0.5126
79,0.0624,0.381,0.6996,0.0182
80,0.248,0.3266,0.4052,0.4838
81,0.3936,0.2322,0.0708,0.9094
82,0.4992,0.0978,0.6964,0.295
83,0.5648,0.9234,0.282,0.6406
84,0.5904,0.709,0.8276,0.9462
85,0.576,0.4546,0.3332,0.2118
86,0.5216,0.1602,0.7988,0.4374
87,0.4272,0.8258,0.2244,0.623
88,0.2928,0.4514,0.61,0.7686
89,0.1184,0.037,0.9556,0.8742
90,0.904,0.5826,0.2612,0.9398
91,0.6496,0.0882,0.5268,0.9654
92,0.3552,0.5538,0.7524,0.951
93,0.0208,0.9794,0.938,0.8966
94,0.6464,0.365,0.0836,0.8022
95,0.232,0.7106,0.1892,0.6678
96,0.7776,0.0162,0.2548,0.4934
97,0.2832,0.2818,0.2804,0.279
98,0.7488,0.5074,0.266,0.0246
99,0.1744,0.693,0.2116,0.7302
100,0.56,0.8386,0.1172,0.3958
101,0.9056,0.9442,0.9828,0.0214
102,0.2112,0.0098,0.8084,0.607
103,0.4768,0.0354,0.594,0.1526
104,0.7024,0.021,0.3396,0.6582
105,0.888,0.9666,0.0452,0.1238
106,0.0336,0.8722,0.7108,0.5494
107,0.1392,0.7378,0.3364,0.935
108,0.2048,0.5634,0.922,0.2806
109,0.2304,0.349,0.4676,0.5862
110,0.216,0.0946,0.9732,0.8518
111,0.1616,0.8002,0.4388,0.0774
112,0.0672,0.4658,0.8644,0.263
113,0.9328,0.0914,0.25,0.4086
114,0.7584,0.677,0.5956,0.5142
115,0.544,0.2226,0.9012,0.5798
116,0.2896,0.7282,0.1668,0.6054
117,0.9952,0.1938,0.3924,0.591
118,0.6608,0.6194,0.578,0.5366
119,0.2864,0.005,0.7236,0.4422
120,0.872,0.3506,0.8292,0.3078
121,0.4176,0.6562,0.8948,0.1334
122,0.9232,0.9218,0.9204,0.919
123,0.3888,0.1474,0.906,0.6646
124,0.8144,0.333,0.8516,0.3702
125,0.2,0.4786,0.7572,0.0358
126,0.5456,0.5842,0.6228,0.6614
127,0.8512,0.6498,0.4484,0.247
128,0.1168,0.6754,0.234,0.7926
129,0.3424,0.661,0.9796,0.2982
130,0.528,0.6066,0.6852,0.7638
131,0.6736,0.5122,0.3508,0.1894
132,0.7792,0.3778,0.9764,0.575
133,0.8448,0.2034,0.562,0.9206
134,0.8704,0.989,0.1076,0.2262
135,0.856,0.7346,0.6132,0.4918
136,0.8016,0.4402,0.0788,0.7174
137,0.7072,0.1058,0.5044,0.903
138,0.5728,0.7314,0.89,0.0486
139,0.3984,0.317,0.2356,0.1542
140,0.184,0.8626,0.5412,0.2198
141,0.9296,0.3682,0.8068,0.2454
142,0.6352,0.8338,0.0324,0.231
143,0.3008,0.2594,0.218,0.1766
144,0.9264,0.645,0.3636,0.0822
145,0.512,0.9906,0.4692,0.9478
146,0.0576,0.2962,0.5348,0.7734
147,0.5632,0.5618,0.5604,0.559
148,0.0288,0.7874,0.546,0.3046
149,0.4544,0.973,0.4916,0.0102
150,0.84,0.1186,0.3972,0.6758
151,0.1856,0.2242,0.2628,0.3014
152,0.4912,0.2898,0.0884,0.887
153,0.7568,0.3154,0.874,0.4326
154,0.9824,0.301,0.6196,0.9382
155,0.168,0.2466,0.3252,0.4038
156,0.3136,0.1522,0.9908,0.8294
157,0.4192,0.0178,0.6164,0.215
158,0.4848,0.8434,0.202,0.5606
159,0.5104,0.629,0.7476,0.8662
160,0.496,0.3746,0.2532,0.1318
161,0.4416,0.0802,0.7188,0.3574
162,0.3472,0.7458,0.1444,0.543
163,0.2128,0.3714,0.53,0.6886
164,0.0384,0.957,0.8756,0.7942
165,0.824,0.5026,0.1812,0.8598
166,0.5696,0.0082,0.4468,0.8854
167,0.2752,0.4738,0.6724,0.871
168,0.9408,0.8994,0.858,0.8166
169,0.5664,0.285,0.0036,0.7222
170,0.152,0.6306,0.1092,0.5878
171,0.6976,0.9362,0.1748,0.4134
172,0.2032,0.2018,0.2004,0.199
173,0.6688,0.4274,0.186,0.9446
174,0.0944,0.613,0.1316,0.6502
175,0.48,0.7586,0.0372,0.3158
176,0.8256,0.8642,0.9028,0.9414
177,0.1312,0.9298,0.7284,0.527
178,0.3968,0.9554,0.514,0.0726
179,0.6224,0.941,0.2596,0.5782
180,0.808,0.8866,0.9652,0.0438
181,0.9536,0.7922,0.6308,0.4694
182,0.0592,0.6578,0.2564,0.855
183,0.1248,0.4834,0.842,0.2006
184,0.1504,0.269,0.3876,0.5062
185,0.136,0.0146,0.8932,0.7718
186,0.0816,0.7202,0.3588,0.9974
187,0.9872,0.3858,0.7844,0.183
188,0.8528,0.0114,0.17,0.3286
189,0.6784,0.597,0.5156,0.4342
190,0.464,0.1426,0.8212,0.4998
191,0.2096,0.6482,0.0868,0.5254
192,0.9152,0.1138,0.3124,0.511
193,0.5808,0.5394,0.498,0.4566
194,0.2064,0.925,0.6436,0.3622
195,0.792,0.2706,0.7492,0.2278
196,0.3376,0.5762,0.8148,0.0534
197,0.8432,0.8418,0.8404,0.839
198,0.3088,0.0674,0.826,0.5846
199,0.7344,0.253,0.7716,0.2902
200,0.12,0.3986,0.6772,0.9558
201,0.4656,0.5042,0.5428,0.5814
202,0.7712,0.5698,0.3684,0.167
203,0.0368,0.5954,0.154,0.7126
204,0.2624,0.581,0.8996,0.2182
205,0.448,0.5266,0.6052,0.6838
206,0.5936,0.4322,0.2708,0.1094
207,0.6992,0.2978,0.8964,0.495
208,0.7648,0.1234,0.482,0.8406
209,0.7904,0.909,0.0276,0.1462
210,0.776,0.6546,0.5332,0.4118
211,0.7216,0.3602,0.9988,0.6374
212,0.6272,0.0258,0.4244,0.823
213,0.4928,0.6514,0.81,0.9686
214,0.3184,0.237,0.1556,0.0742
215,0.104,0.7826,0.4612,0.1398
216,0.8496,0.2882,0.7268,0.1654
217,0.5552,0.7538,0.9524,0.151
218,0.2208,0.1794,0.138,0.0966
219,0.8464,0.565,0.2836,0.0022
220,0.432,0.9106,0.3892,0.8678
221,0.9776,0.2162,0.4548,0.6934
222,0.4832,0.4818,0.4804,0.479
223,0.9488,0.7074,0.466,0.2246
224,0.3744,0.893,0.4116,0.9302
225,0.76,0.0386,0.3172,0.5958
226,0.1056,0.1442,0.1828,0.2214
227,0.4112,0.2098,0.0084,0.807
228,0.6768,0.2354,0.794,0.3526
229,0.9024,0.221,0.5396,0.8582
230,0.088,0.1666,0.2452,0.3238
231,0.2336,0.0722,0.9108,0.7494
232,0.3392,0.9378,0.5364,0.135
233,0.4048,0.7634,0.122,0.4806
234,0.4304,0.549,0.6676,0.7862
235,0.416,0.2946,0.1732,0.0518
236,0.3616,0.0002,0.6388,0.2774
237,0.2672,0.6658,0.0644,0.463
238,0.1328,0.2914,0.45,0.6086
239,0.9584,0.877,0.7956,0.7142
240,0.744,0.4226,0.1012,0.7798
241,0.4896,0.9282,0.3668,0.8054
242,0.1952,0.3938,0.5924,0.791
243,0.8608,0.8194,0.778,0.7366
244,0.4864,0.205,0.9236,0.6422
245,0.072,0.5506,0.0292,0.5078
246,0.6176,0.8562,0.0948,0.3334
247,0.1232,0.1218,0.1204,0.119
248,0.5888,0.3474,0.106,0.8646
249,0.0144,0.533,0.0516,0.5702
250,0.4,0.6786,0.9572,0.2358
251,0.7456,0.7842,0.8228,0.8614
252,0.0512,0.8498,0.6484,0.447
253,0.3168,0.8754,0.434,0.9926
254,0.5424,0.861,0.1796,0.4982
255,0.728,0.8066,0.8852,0.9638
256,0.8736,0.7122,0.5508,0.3894
257,0.9792,0.5778,0.1764,0.775
258,0.0448,0.4034,0.762,0.1206
259,0.0704,0.189,0.3076,0.4262
260,0.056,0.9346,0.8132,0.6918
261,0.0016,0.6402,0.2788,0.9174
262,0.9072,0.3058,0.7044,0.103
263,0.7728,0.9314,0.09,0.2486
264,0.5984,0.517,0.4356,0.3542
265,0.384,0.0626,0.7412,0.4198
266,0.1296,0.5682,0.0068,0.4454
267,0.8352,0.0338,0.2324,0.431
268,0.5008,0.4594,0.418,0.3766
269,0.1264,0.845,0.5636,0.2822
270,0.712,0.1906,0.6692,0.1478
271,0.2576,0.4962,0.7348,0.9734
272,0.7632,0.7618,0.7604,0.759
273,0.2288,0.9874,0.746,0.5046
274,0.6544,0.173,0.6916,0.2102
275,0.04,0.3186,0.5972,0.8758
276,0.3856,0.4242,0.4628,0.5014
277,0.6912,0.4898,0.2884,0.087
278,0.9568,0.5154,0.074,0.6326
279,0.1824,0.501,0.8196,0.1382
280,0.368,0.4466,0.5252,0.6038
281,0.5136,0.3522,0.1908,0.0294
282,0.6192,0.2178,0.8164,0.415
283,0.6848,0.0434,0.402,0.7606
284,0.7104,0.829,0.9476,0.0662
285,0.696,0.5746,0.4532,0.3318
286,0.6416,0.2802,0.9188,0.5574
287,0.5472,0.9458,0.3444,0.743
288,0.4128,0.5714,0.73,0.8886
289,0.2384,0.157,0.0756,0.9942
290,0.024,0.7026,0.3812,0.0598
291,0.7696,0.2082,0.6468,0.0854
292,0.4752,0.6738,0.8724,0.071
293,0.1408,0.0994,0.058,0.0166
294,0.7664,0.485,0.2036,0.9222
295,0.352,0.8306,0.3092,0.7878
296,0.8976,0.1362,0.3748,0.6134
297,0.4032,0.4018,0.4004,0.399
298,0.8688,0.6274,0.386,0.1446
299,0.2944,0.813,0.3316,0.8502
300,0.68,0.9586,0.2372,0.5158
301,0.0256,0.0642,0.1028,0.1414
302,0.3312,0.1298,0.9284,0.727
303,0.5968,0.1554,0.714,0.2726
304,0.8224,0.141,0.4596,0.7782
305,0.008,0.0866,0.1652,0.2438
306,0.1536,0.9922,0.8308,0.6694
307,0.2592,0.8578,0.4564,0.055
308,0.3248,0.6834,0.042,0.4006
309,0.3504,0.469,0.5876,0.7062
