,Anfangswert 0,Anfangswert 237,Anfangswert 474,Anfangswert 711,Anfangswert 948,Anfangswert 1185,Anfangswert 1422,Anfangswert 1659,Anfangswert 1896,Anfangswert 2133,Anfangswert 2370,Anfangswert 2607,Anfangswert 2844,Anfangswert 3081,Anfangswert 3318,Anfangswert 3555,Anfangswert 3792,Anfangswert 4029,Anfangswert 4266,Anfangswert 4503,Anfangswert 4740,Anfangswert 4977,Anfangswert 5214,Anfangswert 5451,Anfangswert 5688,Anfangswert 5925,Anfangswert 6162,Anfangswert 6399,Anfangswert 6636,Anfangswert 6873,Anfangswert 7110,Anfangswert 7347,Anfangswert 7584,Anfangswert 7821,Anfangswert 8058,Anfangswert 8295,Anfangswert 8532,Anfangswert 8769,Anfangswert 9006,Anfangswert 9243,Anfangswert 9480,Anfangswert 9717,Anfangswert 9954
0,0.0,0.0237,0.0474,0.0711,0.0948,0.1185,0.1422,0.1659,0.1896,0.2133,0.237,0.2607,0.2844,0.3081,0.3318,0.3555,0.3792,0.4029,0.4266,0.4503,0.474,0.4977,0.5214,0.5451,0.5688,0.5925,0.6162,0.6399,0.6636,0.6873,0.711,0.7347,0.7584,0.7821,0.8058,0.8295,0.8532,0.8769,0.9006,0.9243,0.948,0.9717,0.9954
1,0.3456,0.2893,0.233,0.1767,0.1204,0.0641,0.0078,0.9515,0.8952,0.8389,0.7826,0.7263,0.67,0.6137,0.5574,0.5011,0.4448,0.3885,0.3322,0.2759,0.2196,0.1633,0.107,0.0507,0.9944,0.9381,0.8818,0.8255,0.7692,0.7129,0.6566,0.6003,0.544,0.4877,0.4314,0.3751,0.3188,0.2625,0.2062,0.1499,0.0936,0.0373,0.981
2,0.6512,0.5149,0.3786,0.2423,0.106,0.9697,0.8334,0.6971,0.5608,0.4245,0.2882,0.1519,0.0156,0.8793,0.743,0.6067,0.4704,0.3341,0.1978,0.0615,0.9252,0.7889,0.6526,0.5163,0.38,0.2437,0.1074,0.9711,0.8348,0.6985,0.5622,0.4259,0.2896,0.1533,0.017,0.8807,0.7444,0.6081,0.4718,0.3355,0.1992,0.0629,0.9266
3,0.9168,0.7005,0.4842,0.2679,0.0516,0.8353,0.619,0.4027,0.1864,0.9701,0.7538,0.5375,0.3212,0.1049,0.8886,0.6723,0.456,0.2397,0.0234,0.8071,0.5908,0.3745,0.1582,0.9419,0.7256,0.5093,0.293,0.0767,0.8604,0.6441,0.4278,0.2115,0.9952,0.7789,0.5626,0.3463,0.13,0.9137,0.6974,0.4811,0.2648,0.0485,0.8322
4,0.1424,0.8461,0.5498,0.2535,0.9572,0.6609,0.3646,0.0683,0.772,0.4757,0.1794,0.8831,0.5868,0.2905,0.9942,0.6979,0.4016,0.1053,0.809,0.5127,0.2164,0.9201,0.6238,0.3275,0.0312,0.7349,0.4386,0.1423,0.846,0.5497,0.2534,0.9571,0.6608,0.3645,0.0682,0.7719,0.4756,0.1793,0.883,0.5867,0.2904,0.9941,0.6978
5,0.328,0.9517,0.5754,0.1991,0.8228,0.4465,0.0702,0.6939,0.3176,0.9413,0.565,0.1887,0.8124,0.4361,0.0598,0.6835,0.3072,0.9309,0.5546,0.1783,0.802,0.4257,0.0494,0.6731,0.2968,0.9205,0.5442,0.1679,0.7916,0.4153,0.039,0.6627,0.2864,0.9101,0.5338,0.1575,0.7812,0.4049,0.0286,0.6523,0.276,0.8997,0.5234
6,0.4736,0.0173,0.561,0.1047,0.6484,0.1921,0.7358,0.2795,0.8232,0.3669,0.9106,0.4543,0.998,0.5417,0.0854,0.6291,0.1728,0.7165,0.2602,0.8039,0.3476,0.8913,0.435,0.9787,0.5224,0.0661,0.6098,0.1535,0.6972,0.2409,0.7846,0.3283,0.872,0.4157,0.9594,0.5031,0.0468,0.5905,0.1342,0.6779,0.2216,0.7653,0.309
7,0.5792,0.0429,0.5066,0.9703,0.434,0.8977,0.3614,0.8251,0.2888,0.7525,0.2162,0.6799,0.1436,0.6073,0.071,0.5347,0.9984,0.4621,0.9258,0.3895,0.8532,0.3169,0.7806,0.2443,0.708,0.1717,0.6354,0.0991,0.5628,0.0265,0.4902,0.9539,0.4176,0.8813,0.345,0.8087,0.2724,0.7361,0.1998,0.6635,0.1272,0.5909,0.0546
8,0.6448,0.0285,0.4122,0.7959,0.1796,0.5633,0.947,0.3307,0.7144,0.0981,0.4818,0.8655,0.2492,0.6329,0.0166,0.4003,0.784,0.1677,0.5514,0.9351,0.3188,0.7025,0.0862,0.4699,0.8536,0.2373,0.621,0.0047,0.3884,0.7721,0.1558,0.5395,0.9232,0.3069,0.6906,0.0743,0.458,0.8417,0.2254,0.6091,0.9928,0.3765,0.7602
9,0.6704,0.9741,0.2778,0.5815,0.8852,0.1889,0.4926,0.7963,0.1,0.4037,0.7074,0.0111,0.3148,0.6185,0.9222,0.2259,0.5296,0.8333,0.137,0.4407,0.7444,0.0481,0.3518,0.6555,0.9592,0.2629,0.5666,0.8703,0.174,0.4777,0.7814,0.0851,0.3888,0.6925,0.9962,0.2999,0.6036,0.9073,0.211,0.5147,0.8184,0.1221,0.4258
10,0.656,0.8797,0.1034,0.3271,0.5508,0.7745,0.9982,0.2219,0.4456,0.6693,0.893,0.1167,0.3404,0.5641,0.7878,0.0115,0.2352,0.4589,0.6826,0.9063,0.13,0.3537,0.5774,0.8011,0.0248,0.2485,0.4722,0.6959,0.9196,0.1433,0.367,0.5907,0.8144,0.0381,0.2618,0.4855,0.7092,0.9329,0.1566,0.3803,0.604,0.8277,0.0514
11,0.6016,0.7453,0.889,0.0327,0.1764,0.3201,0.4638,0.6075,0.7512,0.8949,0.0386,0.1823,0.326,0.4697,0.6134,0.7571,0.9008,0.0445,0.1882,0.3319,0.4756,0.6193,0.763,0.9067,0.0504,0.1941,0.3378,0.4815,0.6252,0.7689,0.9126,0.0563,0.2,0.3437,0.4874,0.6311,0.7748,0.9185,0.0622,0.2059,0.3496,0.4933,0.637
12,0.5072,0.5709,0.6346,0.6983,0.762,0.8257,0.8894,0.9531,0.0168,0.0805,0.1442,0.2079,0.2716,0.3353,0.399,0.4627,0.5264,0.5901,0.6538,0.7175,0.7812,0.8449,0.9086,0.9723,0.036,0.0997,0.1634,0.2271,0.2908,0.3545,0.4182,0.4819,0.5456,0.6093,0.673,0.7367,0.8004,0.8641,0.9278,0.9915,0.0552,0.1189,0.1826
13,0.3728,0.3565,0.3402,0.3239,0.3076,0.2913,0.275,0.2587,0.2424,0.2261,0.2098,0.1935,0.1772,0.1609,0.1446,0.1283,0.112,0.0957,0.0794,0.0631,0.0468,0.0305,0.0142,0.9979,0.9816,0.9653,0.949,0.9327,0.9164,0.9001,0.8838,0.8675,0.8512,0.8349,0.8186,0.8023,0.786,0.7697,0.7534,0.7371,0.7208,0.7045,0.6882
