Id,SalePrice,GrLivArea,OverallQual,nbh_score,ExterQual,KitchenQual,TotRmsAbvGrd,BsmtQual,TotalBsmtSF,GarageCars,GarageArea,1stFlrSF,YearRemodAdd,FullBath,GarageFinish,Fireplaces,YearBuilt,MasVnrArea,GarageYrBlt,Foundation PConc,LotArea,MSSubClass 60,HeatingQC,LotFrontage,MasVnrType None,BsmtFinSF1,2ndFlrSF,gen_discount,SaleType New,BsmtExposure,SaleCondition Partial,GarageType Detchd,MasVnrType Stone,MSZoning RM,WoodDeckSF,PavedDrive,RoofMatl WdShngl,MSZoning RL,BsmtFinType1,ExVinylSd,HalfBath,Foundation CBlock,RoofStyle Gable,LotShape Reg,OpenPorchSF,RoofStyle Hip,HouseStyle 2Story,CentralAir N,GarageType Attchd,GarageQual,BsmtUnfSF,gen_loudness,Foundation BrkTil,MSSubClass 30,Electrical SBrkr,SaleType WD,LotShape IR1,BsmtCond,MasVnrType BrkFace,BsmtFullBath,ExMetalSd,GarageType BuiltIn,Electrical FuseA,LotConfig CulDSac,BedroomAbvGr,HouseStyle 1.5Fin,RoofMatl CompShg,HouseStyle 2.5Fin,SaleCondition Normal,BldgType 1Fam,EnclosedPorch,LotShape IR2,MSSubClass 50,ExWdSdng,GarageCond
1,208500.0,1710,7,2,2,2,8,2,856.0,2.0,548.0,856,2003,2,2,0,2003,196.0,2003.0,1,8450,1,1,65.0,0,706.0,854,0,0,4,0,0,0,0,0,1,0,1,1,1,1,0,1,1,61,0,1,1,1,3,150.0,4,0,0,1,1,0,3,1,1.0,0,0,0,0,3,0,1,0,1,1,0,0,0,0,3
2,181500.0,1262,6,2,3,3,6,2,1262.0,2.0,460.0,1262,1976,2,2,1,1976,0.0,1976.0,0,9600,0,1,80.0,1,978.0,0,0,0,1,0,0,0,0,298,1,0,1,2,0,0,1,1,1,0,0,0,1,1,3,284.0,6,0,0,1,1,0,3,0,0.0,1,0,0,0,3,0,1,0,1,1,0,0,0,0,3
3,223500.0,1786,7,2,2,2,6,2,920.0,2.0,608.0,920,2002,2,2,1,2001,162.0,2001.0,1,11250,1,1,68.0,0,486.0,866,0,0,3,0,0,0,0,0,1,0,1,1,1,1,0,1,0,42,0,1,1,1,3,434.0,4,0,0,1,1,1,3,1,1.0,0,0,0,0,3,0,1,0,1,1,0,0,0,0,3
4,140000.0,1717,7,2,3,2,7,3,756.0,3.0,642.0,961,1970,1,3,1,1915,0.0,1998.0,0,9550,0,2,60.0,1,216.0,756,-1,0,4,0,1,0,0,0,1,0,1,2,0,0,0,1,0,35,0,1,1,0,3,540.0,4,1,0,1,1,1,2,0,1.0,0,0,0,0,3,0,1,0,0,1,272,0,0,1,3
5,250000.0,2198,8,3,2,2,9,2,1145.0,3.0,836.0,1145,2000,2,2,1,2000,350.0,2000.0,1,14260,1,1,84.0,0,655.0,1053,0,0,2,0,0,0,0,192,1,0,1,1,1,1,0,1,0,84,0,1,1,1,3,490.0,4,0,0,1,1,1,3,1,1.0,0,0,0,0,4,0,1,0,1,1,0,0,0,0,3
6,143000.0,1362,5,1,3,3,5,2,796.0,2.0,480.0,796,1995,1,3,0,1993,0.0,1993.0,0,14115,0,1,85.0,1,732.0,566,0,0,4,0,0,0,0,40,1,0,1,1,1,1,0,1,0,30,0,0,1,1,3,64.0,4,0,0,1,1,1,3,0,1.0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,3
7,307000.0,1694,8,2,2,2,7,1,1686.0,2.0,636.0,1694,2005,2,2,1,2004,186.0,2004.0,1,10084,0,1,75.0,0,1369.0,0,0,0,2,0,0,1,0,255,1,0,1,1,1,0,0,1,1,57,0,0,1,1,3,317.0,4,0,0,1,1,0,3,0,1.0,0,0,0,0,3,0,1,0,1,1,0,0,0,0,3
8,200000.0,2090,7,2,3,3,7,2,1107.0,2.0,484.0,1107,1973,2,2,2,1973,240.0,1973.0,0,10382,1,1,69.30579531442663,0,859.0,983,0,0,3,0,0,1,0,235,1,0,1,2,0,1,1,1,0,204,0,1,1,1,3,216.0,2,0,0,1,1,1,3,0,1.0,0,0,0,0,3,0,1,0,1,1,228,0,0,0,3
9,129900.0,1774,7,1,3,3,8,3,952.0,2.0,468.0,1022,1950,2,3,2,1931,0.0,1931.0,0,6120,0,2,51.0,1,0.0,752,-1,0,4,0,1,0,1,90,1,0,0,6,0,0,0,1,1,0,0,0,1,0,4,952.0,9,1,0,0,1,0,3,0,0.0,0,0,0,0,2,1,1,0,0,1,205,0,1,0,3
10,118000.0,1077,5,1,3,3,5,3,991.0,1.0,205.0,1077,1950,1,2,2,1939,0.0,1939.0,0,7420,0,1,50.0,1,851.0,0,0,0,4,0,0,0,0,0,1,0,1,1,0,0,0,1,1,4,0,0,1,1,2,140.0,12,1,0,1,1,0,3,0,1.0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,3
